Pixel,,Wavenumber,Raman Shift,Dark,Reference,,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1
32,331.96,30124.56,-30124.56,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
33,332.4,30084.56,-30084.56,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
34,332.84,30044.66,-30044.66,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
35,333.28,30004.88,-30004.88,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
36,333.72,29965.21,-29965.21,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
37,334.16,29925.65,-29925.65,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
38,334.6,29886.2,-29886.2,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
39,335.04,29846.86,-29846.86,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
40,335.48,29807.63,-29807.63,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
41,335.93,29768.51,-29768.51,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
42,336.37,29729.49,-29729.49,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
43,336.81,29690.59,-29690.59,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
44,337.25,29651.79,-29651.79,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
45,337.69,29613.1,-29613.1,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
46,338.13,29574.51,-29574.51,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
47,338.57,29536.03,-29536.03,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
48,339.01,29497.66,-29497.66,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
49,339.45,29459.39,-29459.39,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
50,339.89,29421.23,-29421.23,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
51,340.33,29383.17,-29383.17,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
52,340.77,29345.22,-29345.22,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
53,341.21,29307.37,-29307.37,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
54,341.65,29269.62,-29269.62,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
55,342.09,29231.98,-29231.98,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
56,342.53,29194.44,-29194.44,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
57,342.97,29157,-29157,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
58,343.41,29119.66,-29119.66,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
59,343.85,29082.42,-29082.42,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
60,344.29,29045.29,-29045.29,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
61,344.73,29008.25,-29008.25,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
62,345.17,28971.31,-28971.31,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
63,345.61,28934.48,-28934.48,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
64,346.05,28897.74,-28897.74,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
65,346.49,28861.1,-28861.1,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
66,346.93,28824.56,-28824.56,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
67,347.37,28788.12,-28788.12,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
68,347.8,28751.77,-28751.77,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
69,348.24,28715.53,-28715.53,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
70,348.68,28679.37,-28679.37,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
71,349.12,28643.32,-28643.32,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
72,349.56,28607.36,-28607.36,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
73,350,28571.5,-28571.5,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
74,350.44,28535.73,-28535.73,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
75,350.88,28500.06,-28500.06,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
76,351.32,28464.48,-28464.48,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
77,351.75,28428.99,-28428.99,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
78,352.19,28393.6,-28393.6,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
79,352.63,28358.3,-28358.3,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
80,353.07,28323.1,-28323.1,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
81,353.51,28287.99,-28287.99,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
82,353.95,28252.97,-28252.97,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
83,354.38,28218.04,-28218.04,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
84,354.82,28183.2,-28183.2,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
85,355.26,28148.46,-28148.46,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
86,355.7,28113.81,-28113.81,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
87,356.13,28079.24,-28079.24,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
88,356.57,28044.77,-28044.77,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
89,357.01,28010.38,-28010.38,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
90,357.45,27976.09,-27976.09,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
91,357.89,27941.88,-27941.88,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
92,358.32,27907.77,-27907.77,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
93,358.76,27873.74,-27873.74,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
94,359.2,27839.8,-27839.8,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
95,359.64,27805.95,-27805.95,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
96,360.07,27772.18,-27772.18,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
97,360.51,27738.5,-27738.5,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
98,360.95,27704.91,-27704.91,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
99,361.38,27671.41,-27671.41,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
100,361.82,27637.99,-27637.99,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
101,362.26,27604.66,-27604.66,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
102,362.69,27571.41,-27571.41,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
103,363.13,27538.25,-27538.25,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
104,363.57,27505.17,-27505.17,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
105,364,27472.17,-27472.17,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
106,364.44,27439.26,-27439.26,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
107,364.88,27406.44,-27406.44,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
108,365.31,27373.7,-27373.7,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
109,365.75,27341.04,-27341.04,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
110,366.19,27308.46,-27308.46,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
111,366.62,27275.97,-27275.97,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
112,367.06,27243.56,-27243.56,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
113,367.5,27211.23,-27211.23,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
114,367.93,27178.98,-27178.98,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
115,368.37,27146.81,-27146.81,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
116,368.8,27114.73,-27114.73,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
117,369.24,27082.72,-27082.72,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
118,369.67,27050.79,-27050.79,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
119,370.11,27018.95,-27018.95,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
120,370.55,26987.19,-26987.19,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
121,370.98,26955.5,-26955.5,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
122,371.42,26923.89,-26923.89,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
123,371.85,26892.37,-26892.37,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
124,372.29,26860.92,-26860.92,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
125,372.72,26829.55,-26829.55,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
126,373.16,26798.25,-26798.25,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
127,373.59,26767.04,-26767.04,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
128,374.03,26735.9,-26735.9,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
129,374.46,26704.84,-26704.84,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
130,374.9,26673.86,-26673.86,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
131,375.33,26642.95,-26642.95,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
132,375.77,26612.12,-26612.12,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
133,376.2,26581.36,-26581.36,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
134,376.64,26550.68,-26550.68,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
135,377.07,26520.08,-26520.08,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
136,377.51,26489.55,-26489.55,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
137,377.94,26459.1,-26459.1,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
138,378.38,26428.72,-26428.72,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
139,378.81,26398.42,-26398.42,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
140,379.24,26368.18,-26368.18,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
141,379.68,26338.03,-26338.03,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
142,380.11,26307.95,-26307.95,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
143,380.55,26277.94,-26277.94,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
144,380.98,26248,-26248,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
145,381.42,26218.13,-26218.13,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
146,381.85,26188.34,-26188.34,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
147,382.28,26158.62,-26158.62,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
148,382.72,26128.98,-26128.98,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
149,383.15,26099.4,-26099.4,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
150,383.58,26069.9,-26069.9,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
151,384.02,26040.46,-26040.46,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
152,384.45,26011.1,-26011.1,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
153,384.88,25981.81,-25981.81,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
154,385.32,25952.59,-25952.59,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
155,385.75,25923.44,-25923.44,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
156,386.18,25894.36,-25894.36,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
157,386.62,25865.34,-25865.34,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
158,387.05,25836.4,-25836.4,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
159,387.48,25807.53,-25807.53,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
160,387.92,25778.73,-25778.73,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
161,388.35,25749.99,-25749.99,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
162,388.78,25721.32,-25721.32,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
163,389.22,25692.72,-25692.72,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
164,389.65,25664.19,-25664.19,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
165,390.08,25635.73,-25635.73,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
166,390.51,25607.34,-25607.34,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
167,390.95,25579.01,-25579.01,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
168,391.38,25550.75,-25550.75,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
169,391.81,25522.55,-25522.55,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
170,392.24,25494.42,-25494.42,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
171,392.67,25466.36,-25466.36,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
172,393.11,25438.37,-25438.37,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
173,393.54,25410.44,-25410.44,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
174,393.97,25382.57,-25382.57,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
175,394.4,25354.77,-25354.77,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
176,394.83,25327.04,-25327.04,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
177,395.27,25299.37,-25299.37,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
178,395.7,25271.77,-25271.77,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
179,396.13,25244.23,-25244.23,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
180,396.56,25216.75,-25216.75,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
181,396.99,25189.34,-25189.34,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
182,397.42,25161.99,-25161.99,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
183,397.86,25134.71,-25134.71,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
184,398.29,25107.49,-25107.49,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
185,398.72,25080.33,-25080.33,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
186,399.15,25053.24,-25053.24,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
187,399.58,25026.2,-25026.2,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
188,400.01,24999.24,-24999.24,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
189,400.44,24972.33,-24972.33,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
190,400.87,24945.48,-24945.48,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
191,401.31,24918.7,-24918.7,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
192,401.74,24891.98,-24891.98,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
193,402.17,24865.32,-24865.32,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
194,402.6,24838.72,-24838.72,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
195,403.03,24812.18,-24812.18,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
196,403.46,24785.7,-24785.7,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
197,403.89,24759.29,-24759.29,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
198,404.32,24732.93,-24732.93,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
199,404.75,24706.63,-24706.63,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
200,405.18,24680.4,-24680.4,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
201,405.61,24654.22,-24654.22,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
202,406.04,24628.11,-24628.11,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
203,406.47,24602.05,-24602.05,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
204,406.9,24576.05,-24576.05,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
205,407.33,24550.11,-24550.11,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
206,407.76,24524.23,-24524.23,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
207,408.19,24498.41,-24498.41,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
208,408.62,24472.64,-24472.64,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
209,409.05,24446.94,-24446.94,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
210,409.48,24421.29,-24421.29,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
211,409.91,24395.7,-24395.7,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
212,410.34,24370.17,-24370.17,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
213,410.77,24344.69,-24344.69,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
214,411.2,24319.28,-24319.28,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
215,411.63,24293.92,-24293.92,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
216,412.05,24268.61,-24268.61,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
217,412.48,24243.36,-24243.36,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
218,412.91,24218.17,-24218.17,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
219,413.34,24193.04,-24193.04,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
220,413.77,24167.96,-24167.96,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
221,414.2,24142.94,-24142.94,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
222,414.63,24117.97,-24117.97,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
223,415.06,24093.06,-24093.06,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
224,415.49,24068.2,-24068.2,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
225,415.91,24043.4,-24043.4,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
226,416.34,24018.66,-24018.66,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
227,416.77,23993.97,-23993.97,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
228,417.2,23969.33,-23969.33,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
229,417.63,23944.75,-23944.75,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
230,418.06,23920.22,-23920.22,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
231,418.48,23895.75,-23895.75,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
232,418.91,23871.33,-23871.33,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
233,419.34,23846.96,-23846.96,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
234,419.77,23822.65,-23822.65,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
235,420.2,23798.39,-23798.39,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
236,420.62,23774.18,-23774.18,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
237,421.05,23750.03,-23750.03,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
238,421.48,23725.93,-23725.93,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
239,421.91,23701.88,-23701.88,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
240,422.34,23677.89,-23677.89,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
241,422.76,23653.94,-23653.94,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
242,423.19,23630.05,-23630.05,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
243,423.62,23606.21,-23606.21,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
244,424.04,23582.43,-23582.43,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
245,424.47,23558.69,-23558.69,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
246,424.9,23535.01,-23535.01,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
247,425.33,23511.38,-23511.38,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
248,425.75,23487.79,-23487.79,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
249,426.18,23464.26,-23464.26,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
250,426.61,23440.78,-23440.78,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
251,427.03,23417.36,-23417.36,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
252,427.46,23393.98,-23393.98,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
253,427.89,23370.65,-23370.65,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
254,428.31,23347.37,-23347.37,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
255,428.74,23324.14,-23324.14,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
256,429.17,23300.97,-23300.97,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
257,429.59,23277.84,-23277.84,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
258,430.02,23254.76,-23254.76,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
259,430.45,23231.73,-23231.73,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
260,430.87,23208.75,-23208.75,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
261,431.3,23185.82,-23185.82,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
262,431.72,23162.94,-23162.94,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
263,432.15,23140.1,-23140.1,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
264,432.58,23117.32,-23117.32,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
265,433,23094.58,-23094.58,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
266,433.43,23071.89,-23071.89,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
267,433.85,23049.25,-23049.25,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
268,434.28,23026.66,-23026.66,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
269,434.7,23004.12,-23004.12,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
270,435.13,22981.62,-22981.62,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
271,435.56,22959.17,-22959.17,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
272,435.98,22936.77,-22936.77,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
273,436.41,22914.42,-22914.42,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
274,436.83,22892.11,-22892.11,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
275,437.26,22869.85,-22869.85,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
276,437.68,22847.64,-22847.64,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
277,438.11,22825.47,-22825.47,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
278,438.53,22803.35,-22803.35,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
279,438.96,22781.28,-22781.28,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
280,439.38,22759.25,-22759.25,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
281,439.81,22737.27,-22737.27,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
282,440.23,22715.33,-22715.33,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
283,440.66,22693.44,-22693.44,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
284,441.08,22671.6,-22671.6,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
285,441.51,22649.8,-22649.8,0,65535,0,0,0,0,0,1,1.00E+00,1.00E+00
